period,year,quarter,domestic_demand_real_cop_billion,total_consumption_real_cop_billion,private_consumption_real_cop_billion,government_consumption_real_cop_billion,investment_real_cop_billion,fixed_investment_real_cop_billion,exports_real_cop_billion,imports_real_cop_billion,gdp_real_cop_billion,domestic_demand_nominal_cop_billion,total_consumption_nominal_cop_billion,private_consumption_nominal_cop_billion,government_consumption_nominal_cop_billion,investment_nominal_cop_billion,fixed_investment_nominal_cop_billion,exports_nominal_cop_billion,imports_nominal_cop_billion,gdp_nominal_cop_billion,trm_avg_cop_per_usd,trm_end_cop_per_usd,net_exports_real_cop_billion,net_exports_nominal_cop_billion,gdp_usd_m
2012Q3,2012,3,186033.63766328778,144495.54321546826,122173.0814655494,22341.317636376163,41460.76077553371,39330.24780917319,30038.436765734208,40953.575942859854,177268.44995332355,171526.74424634792,130061.23326988173,109448.1161415525,20613.11712832923,41465.510976466176,35651.09093597275,30503.010989546096,34444.61577238194,167585.13946351205,1798.3840677966102,1800.52,-10915.139177125646,-3941.604782835846,93186.51252779295
2012Q4,2012,4,201113.36126829888,168228.08569943634,132047.45476524104,36214.06205636473,33323.884717563924,43700.02071202373,30186.75842795646,41308.31933512109,188971.82480957385,177364.84754452933,147504.8089875089,118693.42671302447,28811.382274484436,29860.03855702043,36931.1769162771,32084.370395663314,34404.456497832034,175044.7614423606,1806.4788135593221,1768.23,-11121.560907164625,-2320.0861021687197,96898.31960855842
2013Q1,2013,1,182393.40452078753,142835.10566275395,121787.0375010591,21042.749682923804,39587.914955691434,34741.94222051481,28895.46989931417,39193.370741084545,174578.04238681134,171121.34238926764,130800.04566561604,109997.16614671958,20802.87951889646,40321.29672365161,34200.72919181868,29432.71835960357,32232.36386928164,168321.69687958958,1791.0287719298246,1832.2,-10297.900841770377,-2799.64550967807,93980.45386966274
2013Q2,2013,2,198564.8710468733,149048.09012336872,125697.13081553468,23358.57183028154,49537.53174149329,42393.65346813051,31197.57529509671,42788.5366321929,184043.0245669613,176575.2741394961,138780.8348538445,114486.59276046124,24294.242093383273,37794.43928565158,37415.80254991885,33083.37467786473,35368.2780168142,174290.37080054663,1861.7543333333333,1929.0,-11590.961337096192,-2284.9033389494653,93616.20256765705
2013Q3,2013,3,200275.98344735173,151944.0261419727,127427.93661778209,24528.876757934202,48137.97683698416,40952.68985471172,30326.538409095057,44415.279619751906,188345.14461420866,188424.46343511663,140286.68849667962,116930.96886519769,23355.71963148193,48137.77493843701,37200.391658627166,32021.785494605607,36956.888597313686,183489.36033240854,1906.8925000000002,1914.65,-14088.741210656848,-4935.103102708079,96224.28130186077
2013Q4,2013,4,212902.7409849874,177438.7780719047,137786.8950656241,39665.80172886047,35605.5764658311,49444.71445664296,33821.41639649407,45045.81300697067,200972.78843201874,190923.9200361201,158773.4309838598,126558.27222762152,32215.158756238277,32150.48905226028,43559.076599635315,34616.121467926096,37548.469516590485,187991.57198745568,1913.0850819672132,1926.83,-11224.3966104766,-2932.3480486643894,98266.18468748142
2014Q1,2014,1,195439.590945741,149686.06931906272,126810.99338769905,22883.844550891805,45621.39853410408,38898.452922625205,30502.450385273896,42509.442874592256,186100.21812101797,189894.25714530994,140035.75726579392,117346.54587596716,22689.21138982676,49858.499879516035,38634.04580849175,31030.197553644284,36491.797163966854,184432.6575349874,2008.882931034483,1965.32,-12006.99248931836,-5461.59961032257,91808.56419543223
2014Q2,2014,2,209079.40402974273,154955.2736206593,130399.77276805867,24577.397360006715,54366.00256915704,45795.09399065218,30298.845503538396,45820.85152375299,190347.0900919258,191855.49557361644,146821.50494203297,122611.58888754756,24209.91605448542,45033.99063158346,41967.66837288933,30859.65396010797,38890.42557187191,183824.72396185252,1914.7679661016948,1881.19,-15522.00602021459,-8030.771611763936,96003.65538603827
2014Q3,2014,3,209503.60646765144,158197.4907720196,132771.01087259408,25455.193749865084,51206.56064500939,46745.95064380019,31231.104330311915,46418.098746764226,196605.8725837215,201714.14409876138,149642.44032058795,125576.42423309947,24066.016087488464,52071.703778173425,45246.899249501526,32167.49503752644,39136.25490711115,194745.38422917668,1910.5959016393444,2028.48,-15186.994416452311,-6968.759869584708,101929.13324166545
2014Q4,2014,4,227658.39855686485,185295.16628825836,144502.22297164815,40757.56433923639,42339.038251729464,51517.502442922436,31849.5997808758,49998.60685489052,208535.8192033347,211618.1031823124,175460.29747158496,137759.44100338573,37700.856468199236,36157.80571072745,47105.386569117385,32849.65344872132,44567.522357050104,199900.2342739836,2174.332542372881,2392.46,-18149.007074014717,-11717.868908328783,91936.36685206833
2015Q1,2015,1,201365.2569985125,155721.43098322058,131345.74055103556,24375.408819373883,45629.520550446854,40790.50706233147,30585.323262780268,43154.37939831731,191363.27537481778,204008.3246632145,152321.51816201312,127789.4697032672,24532.048458745918,51686.80650120138,43013.63205022304,29029.755312787438,40920.09864805057,192117.98132795136,2474.603103448276,2576.05,-12569.056135537041,-11890.34333526313,77635.87666250051
2015Q2,2015,2,212547.89623898565,161711.33367200877,134566.0964266184,27145.200185349586,50836.47198982261,48657.8402714901,32190.708488531865,44377.698842412814,196861.40095864589,203655.8763454596,161266.04831442874,133472.48022766062,27793.568086768115,42389.82803103088,45437.58286254808,30461.764325328433,42448.59288067961,191669.04779010845,2496.3787719298243,2585.11,-12186.990353880949,-11986.828555351174,76778.83258153922
2015Q3,2015,3,219441.81803600836,166725.6859833036,137911.62403192217,28814.184010163935,52724.857338992144,48478.48989852097,30319.26260054003,48338.02349677437,203635.77081291782,225640.4617084039,167372.3537792799,138524.30416891936,28848.04961036053,58268.10792912402,48795.046660757725,32533.5281017256,50006.08319320513,208167.9066169244,2936.1187096774192,3121.94,-18018.760896234337,-17472.55509147953,70899.00892998806
